2015-09-06 03:56:56,464 [27] INFO  umbraco.BusinessLogic.Log - [P104372/T31/D12] Log scrubbed.  Removed all items older than 2015-07-08 03:56:56
2015-09-06 04:03:55,280 [6] INFO  umbraco.BusinessLogic.Log - [P103996/T1/D2] Log scrubbed.  Removed all items older than 2015-07-08 04:03:55
2015-09-06 07:56:56,463 [27] INFO  umbraco.BusinessLogic.Log - [P104372/T31/D12] Log scrubbed.  Removed all items older than 2015-07-08 07:56:56
2015-09-06 08:03:55,278 [6] INFO  umbraco.BusinessLogic.Log - [P103996/T1/D2] Log scrubbed.  Removed all items older than 2015-07-08 08:03:55
2015-09-06 11:56:28,828 [7] INFO  Umbraco.Core.CoreBootManager - [P8444/T1/D2] Umbraco 7.2.8 application starting on BRIAN-PC
2015-09-06 11:56:28,894 [7] INFO  Umbraco.Core.PluginManager - [P8444/T1/D2] Determining hash of code files on disk
2015-09-06 11:56:28,908 [7] INFO  Umbraco.Core.PluginManager - [P8444/T1/D2] Hash determined (took 12ms)
2015-09-06 11:56:28,918 [7] INFO  Umbraco.Core.PluginManager - [P8444/T1/D2] Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
2015-09-06 11:56:28,932 [7] INFO  Umbraco.Core.PluginManager - [P8444/T1/D2] Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 37 (took 13ms)
2015-09-06 11:56:29,054 [7] INFO  Umbraco.Core.PluginManager - [P8444/T1/D2] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
2015-09-06 11:56:29,058 [7] INFO  Umbraco.Core.PluginManager - [P8444/T1/D2] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 4ms)
2015-09-06 11:56:29,058 [7] INFO  Umbraco.Core.PluginManager - [P8444/T1/D2] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
2015-09-06 11:56:29,059 [7] INFO  Umbraco.Core.PluginManager - [P8444/T1/D2] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 16 (took 0ms)
2015-09-06 11:56:29,080 [7] INFO  Umbraco.Core.PluginManager - [P8444/T1/D2] Starting resolution types of Umbraco.Web.Mvc.SurfaceController
2015-09-06 11:56:29,080 [7] INFO  Umbraco.Core.PluginManager - [P8444/T1/D2] Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 4 (took 0ms)
2015-09-06 11:56:29,081 [7] INFO  Umbraco.Core.PluginManager - [P8444/T1/D2] Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
2015-09-06 11:56:29,082 [7] INFO  Umbraco.Core.PluginManager - [P8444/T1/D2] Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 35 (took 1ms)
2015-09-06 11:56:29,158 [7] INFO  Umbraco.Core.PluginManager - [P8444/T1/D2] Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
2015-09-06 11:56:29,158 [7] INFO  Umbraco.Core.PluginManager - [P8444/T1/D2] Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 3 (took 0ms)
2015-09-06 11:56:29,159 [7] INFO  Umbraco.Core.PluginManager - [P8444/T1/D2] Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
2015-09-06 11:56:29,160 [7] INFO  Umbraco.Core.PluginManager - [P8444/T1/D2] Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 1 (took 0ms)
2015-09-06 11:56:30,603 [7] INFO  Umbraco.Core.DatabaseContext - [P8444/T1/D2] CanConnect = True
2015-09-06 11:56:30,623 [7] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - [P8444/T1/D2] Initializing Umbraco internal event handlers for cache refreshing
2015-09-06 11:56:30,659 [7] INFO  Umbraco.Web.Search.ExamineEvents - [P8444/T1/D2] Initializing Examine and binding to business logic events
2015-09-06 11:56:30,764 [7] INFO  Umbraco.Web.Search.ExamineEvents - [P8444/T1/D2] Adding examine event handlers for index providers: 3
2015-09-06 11:56:30,795 [7] INFO  Umbraco.Core.CoreBootManager - [P8444/T1/D2] Umbraco application startup complete (took 1938ms)
2015-09-06 11:56:32,272 [7] INFO  Umbraco.Core.ApplicationContext - [P8444/T1/D2] ApplicationUrl: http://dev.umbraco7.mvc:80/umbraco (UmbracoModule request)
2015-09-06 11:57:33,255 [7] INFO  umbraco.BusinessLogic.Log - [P8444/T1/D2] Log scrubbed.  Removed all items older than 2015-07-08 11:57:32
2015-09-06 11:57:33,388 [7] INFO  umbraco.content - [P8444/T1/D2] Load Xml from file...
2015-09-06 11:57:33,418 [7] INFO  umbraco.content - [P8444/T1/D2] Loaded Xml from file.
2015-09-06 11:57:33,428 [7] INFO  Umbraco.Core.PluginManager - [P8444/T1/D2] Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
2015-09-06 11:57:33,429 [7] INFO  Umbraco.Core.PluginManager - [P8444/T1/D2] Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 23 (took 0ms)
